time_mjd,mag,emag,band
57983.401,17.28,0.12,g
57983.405,17.20,0.02,r
57983.741,17.75,0.02,r
57983.745,18.05,0.12,g
57983.972,17.88,0.10,i
57983.976,17.98,0.08,r
57983.98,18.61,0.14,g
57984.361,18.07,0.13,i
57984.365,18.34,0.11,r
57984.369,19.28,0.17,g
57984.738,18.92,0.10,r
57984.741,18.90,0.11,r
57984.745,18.33,0.12,i
57984.748,18.26,0.15,i
57984.758,19.93,0.21,g
57984.761,19.80,0.20,g
57984.968,19.10,0.11,r
57984.975,18.61,0.15,i
57984.978,18.46,0.10,i
57985.002,18.46,0.10,i
57985.006,18.45,0.11,i
57985.017,20.15,0.33,g
57985.019,17.76,0.02,J
57985.357,19.36,0.09,r
57985.364,18.53,0.13,i
57985.367,18.62,0.14,i
57985.391,18.70,0.18,i
57985.395,18.63,0.15,i
57985.726,19.75,0.12,r
57985.733,18.84,0.20,i
57985.736,18.76,0.15,i
57986.029,17.93,0.06,J
57986.715,20.30,0.31,r
57986.969,20.25,0.28,r
57987.049,18.15,0.06,J
57987.358,20.69,0.33,r
57988.729,18.65,0.19,J
57989.699,18.95,0.32,J
